Time,obj_attrs,count
15:50:45,"{'ids': [0, 1, 4, 2, 5, 3, 6, 9, 8, 7, 10, 12, 11, 15, 13, 14]}",16
15:50:46,"{'ids': [0, 1, 2, 5, 4, 3, 9, 6, 8, 7, 12, 17, 14, 13, 11, 10]}",16
15:50:47,"{'ids': [0, 1, 2, 4, 6, 9, 7, 5, 3, 8, 10, 17, 13, 12, 19]}",15
15:50:48,"{'ids': [0, 1, 4, 2, 6, 3, 5, 9, 7, 12, 8, 13, 10, 18, 20]}",15
15:50:49,"{'ids': [0, 1, 6, 9, 2, 3, 4, 5, 12, 7, 14, 8, 21, 13, 10]}",15
15:50:51,"{'ids': [0, 6, 3, 5, 9, 2, 4, 7, 12, 1, 8, 10, 21, 14]}",14
15:50:52,"{'ids': [0, 6, 5, 3, 9, 2, 4, 21, 12, 8, 7, 1, 10]}",13
15:50:53,"{'ids': [0, 5, 4, 21, 1, 3, 6, 9, 22, 8, 12, 10, 2, 7]}",14
15:50:54,"{'ids': [0, 1, 21, 2, 3, 5, 6, 12, 9, 22, 4, 13, 8, 24, 14, 10, 23, 7]}",18
15:50:55,"{'ids': [0, 21, 1, 6, 2, 5, 3, 7, 4, 25, 9, 13, 8, 26, 23]}",15
15:50:56,"{'ids': [0, 21, 4, 6, 1, 25, 5, 10, 7, 9, 3, 14, 2, 23, 13, 8, 27]}",17
15:50:57,"{'ids': [0, 21, 4, 6, 25, 5, 1, 3, 7, 2, 9, 13, 8, 23]}",14
15:50:58,"{'ids': [0, 21, 4, 2, 25, 3, 9, 5, 1, 10, 6, 23, 28, 29, 8, 30]}",16
15:50:59,"{'ids': [0, 21, 2, 4, 5, 25, 9, 1, 6, 3, 29, 8, 14, 28, 10, 7, 23]}",17
15:51:01,"{'ids': [0, 21, 2, 4, 5, 10, 1, 9, 3, 7, 8, 14, 25, 29, 32, 6, 31, 28, 23]}",19
15:51:02,"{'ids': [0, 21, 3, 30, 4, 5, 1, 2, 9, 25, 10, 7, 8, 32, 6, 14, 28, 23]}",18
15:51:03,"{'ids': [0, 3, 21, 30, 1, 4, 5, 2, 9, 10, 6, 8, 25, 23]}",14
15:51:04,"{'ids': [0, 3, 1, 21, 14, 4, 5, 6, 10, 2, 8, 29, 25, 9, 23, 33, 37, 31]}",18
15:51:05,"{'ids': [0, 1, 3, 14, 21, 5, 4, 6, 2, 30, 10, 8, 25, 36, 31, 7, 9]}",17
15:51:06,"{'ids': [0, 1, 3, 14, 21, 4, 5, 2, 30, 6, 10, 8]}",12
15:51:07,"{'ids': [0, 1, 3, 5, 30, 4, 21, 14, 2, 6, 38, 10, 25, 36]}",14
15:51:08,"{'ids': [0, 1, 21, 3, 5, 4, 8, 25, 6, 14, 2, 41, 29, 30, 10, 40, 38]}",17
15:51:10,"{'ids': [0, 21, 1, 4, 2, 30, 25, 5, 3, 8, 7, 39, 10, 38, 40, 6, 42]}",17
15:51:11,"{'ids': [0, 2, 1, 6, 21, 4, 30, 3, 10, 36, 38, 5, 39]}",13
15:51:12,"{'ids': [0, 6, 2, 1, 7, 4, 21, 3, 10, 8, 38, 25, 41, 5]}",14
15:51:13,"{'ids': [0, 6, 2, 1, 8, 4, 7, 3, 10, 38, 21, 30]}",12
15:51:14,"{'ids': [0, 2, 6, 1, 8, 4, 38, 7, 41, 3, 10, 43, 39]}",13
15:51:15,"{'ids': [0, 2, 4, 6, 7, 21, 1, 39, 8, 3, 30, 44, 38, 10, 5, 14, 41, 25]}",18
15:51:16,"{'ids': [0, 2, 8, 6, 4, 30, 39, 1, 10, 14, 3, 38, 43, 41]}",14
15:51:18,"{'ids': [0, 4, 2, 7, 6, 39, 14, 10, 3, 38, 43, 1, 45]}",13
15:51:19,"{'ids': [0, 7, 4, 2, 6, 39, 14, 10, 38, 3, 45, 30, 1]}",13
15:51:20,"{'ids': [0, 2, 4, 6, 7, 14, 1, 38, 3, 10, 41, 30, 45, 47]}",14
15:51:21,"{'ids': [0, 8, 2, 4, 6, 1, 38, 3, 10, 7, 48, 49, 14]}",13
15:51:22,"{'ids': [0, 8, 4, 2, 6, 38, 1, 49, 3, 48, 10, 30, 14]}",13
