Time,obj_attrs,count
11:15:34,"{'ids': [0, 1, 4, 2, 5, 3, 6, 9, 8, 7, 10, 12, 11, 15, 13, 14]}",16
11:15:35,"{'ids': [0, 1, 2, 5, 4, 3, 9, 6, 8, 7, 12, 17, 14, 13, 11, 10]}",16
11:15:36,"{'ids': [0, 1, 2, 4, 6, 9, 7, 5, 3, 8, 10, 17, 13, 12, 19]}",15
11:15:37,"{'ids': [0, 1, 4, 2, 6, 3, 5, 9, 7, 12, 8, 13, 10, 18, 20]}",15
11:15:38,"{'ids': [0, 1, 6, 9, 2, 3, 4, 5, 12, 7, 14, 8, 21, 13, 10]}",15
11:15:39,"{'ids': [0, 6, 3, 5, 9, 2, 4, 7, 12, 1, 8, 10, 21, 14]}",14
11:15:40,"{'ids': [0, 6, 5, 3, 9, 2, 4, 21, 12, 8, 7, 1, 10]}",13
11:15:42,"{'ids': [0, 5, 21, 1, 4, 3, 6, 2, 12, 8, 22, 9, 10, 7]}",14
11:15:43,"{'ids': [0, 2, 1, 21, 6, 5, 3, 9, 12, 22, 8, 13, 10, 4, 7, 23]}",16
11:15:44,"{'ids': [0, 21, 1, 6, 2, 3, 5, 4, 7, 9, 13, 12, 8, 23]}",14
11:15:45,"{'ids': [0, 21, 4, 6, 1, 25, 5, 10, 7, 9, 3, 14, 2, 23, 13, 8]}",16
11:15:46,"{'ids': [0, 21, 4, 6, 25, 1, 2, 5, 7, 9, 23, 8, 3]}",13
11:15:47,"{'ids': [0, 21, 6, 4, 25, 5, 3, 9, 1, 7, 2, 8, 23, 13]}",14
11:15:48,"{'ids': [0, 21, 4, 2, 25, 9, 5, 3, 1, 6, 10, 29, 8, 28, 23, 7, 14]}",17
11:15:49,"{'ids': [0, 21, 2, 5, 4, 25, 9, 1, 6, 14, 10, 8, 28, 3, 23, 29]}",16
11:15:51,"{'ids': [0, 21, 2, 4, 5, 3, 10, 1, 9, 32, 7, 8, 14, 25, 29, 6, 23, 31, 28]}",19
11:15:52,"{'ids': [0, 21, 3, 30, 4, 5, 1, 2, 9, 25, 10, 7, 8, 32, 6, 14, 28, 23]}",18
11:15:53,"{'ids': [0, 3, 21, 30, 1, 4, 5, 2, 9, 10, 6, 25, 23, 33, 8, 34]}",16
11:15:54,"{'ids': [0, 3, 21, 1, 30, 4, 5, 10, 2, 6, 9, 8, 25, 33, 14]}",15
11:15:55,"{'ids': [0, 1, 3, 14, 21, 5, 4, 2, 6, 25, 36, 8, 29, 10, 9, 31]}",16
11:15:56,"{'ids': [0, 1, 3, 14, 21, 5, 4, 2, 6, 10, 30, 8, 36, 31]}",14
11:15:57,"{'ids': [0, 3, 1, 14, 30, 5, 4, 21, 2, 29, 6, 10, 7, 38, 39]}",15
11:15:58,"{'ids': [0, 1, 21, 3, 5, 4, 8, 14, 6, 25, 29, 2, 38, 7, 10, 40]}",16
11:15:59,"{'ids': [0, 21, 1, 4, 2, 5, 6, 25, 7, 3, 30, 10, 14, 38, 40, 39]}",16
11:16:00,"{'ids': [0, 21, 1, 4, 2, 30, 6, 25, 10, 5, 38, 3, 36, 39, 40]}",15
11:16:02,"{'ids': [0, 6, 2, 1, 7, 4, 21, 3, 10, 8, 38, 25, 41, 5]}",14
11:16:03,"{'ids': [0, 6, 1, 2, 8, 4, 7, 3, 41, 38, 21, 10, 14, 43, 39, 36, 44]}",17
11:16:04,"{'ids': [0, 2, 6, 8, 4, 1, 7, 3, 41, 38, 39, 14, 10, 30]}",14
11:16:05,"{'ids': [0, 2, 4, 7, 21, 30, 1, 6, 39, 10, 3, 8, 38, 14, 44, 41, 5]}",17
11:16:06,"{'ids': [0, 2, 4, 8, 6, 30, 39, 10, 14, 3, 1, 43, 38, 41]}",14
11:16:07,"{'ids': [0, 4, 7, 2, 6, 39, 14, 10, 3, 38, 43, 1, 45, 30]}",14
11:16:08,"{'ids': [0, 4, 2, 7, 6, 44, 1, 38, 14, 10, 41, 8, 45, 3, 30, 39]}",16
11:16:09,"{'ids': [0, 2, 8, 4, 6, 1, 38, 7, 3, 10, 48, 47, 49]}",13
11:16:10,"{'ids': [0, 8, 4, 2, 6, 38, 1, 49, 3, 48, 10, 30, 14]}",13
11:16:11,"{'ids': [0, 6, 8, 2, 38, 4, 49, 30, 3, 14, 48, 1, 10, 50]}",14
11:16:12,"{'ids': [0, 7, 2, 6, 4, 38, 51, 39, 49, 48, 3, 1, 10, 14]}",14
11:16:14,"{'ids': [0, 7, 2, 6, 8, 4, 38, 3, 10, 49, 39, 46, 1]}",13
11:16:15,"{'ids': [0, 6, 2, 4, 1, 7, 10, 49, 46, 38, 52, 53]}",12
11:16:16,"{'ids': [0, 6, 2, 4, 1, 10, 7, 49, 38, 52, 46]}",11
11:16:17,"{'ids': [0, 2, 6, 4, 1, 3, 7, 49, 10, 46, 54, 55]}",12
11:16:18,"{'ids': [0, 2, 6, 4, 1, 7, 49, 3, 46, 10, 56]}",11
11:16:19,"{'ids': [6, 0, 2, 1, 4, 7, 49, 3, 46, 57, 10, 56, 54]}",13
11:16:20,"{'ids': [0, 6, 1, 2, 7, 4, 3, 46, 57, 10]}",10
11:16:21,"{'ids': [0, 6, 2, 1, 57, 7, 3, 46, 59, 58, 54, 10, 60]}",13
11:16:23,"{'ids': [0, 6, 2, 1, 3, 7, 57, 61, 49, 10, 54, 58, 46]}",13
11:16:24,"{'ids': [0, 6, 1, 2, 3, 7, 4, 58, 49, 46, 10]}",11
11:16:25,"{'ids': [0, 6, 2, 1, 3, 7, 4, 49, 58, 46, 10, 63]}",12
11:16:26,"{'ids': [0, 6, 3, 2, 63, 7, 4, 49, 58, 10, 62, 1, 65]}",13
11:16:27,"{'ids': [0, 63, 3, 4, 6, 2, 7, 49, 62, 1, 10, 58]}",12
11:16:28,"{'ids': [0, 63, 3, 2, 4, 6, 62, 49, 7, 1, 46, 58, 10, 64]}",14
11:16:29,"{'ids': [0, 3, 7, 2, 62, 49, 1, 68, 46, 4, 6, 58, 10, 66]}",14
11:16:30,"{'ids': [0, 3, 58, 1, 2, 6, 63, 46, 62, 10, 4, 49, 7, 70]}",14
11:16:31,"{'ids': [0, 4, 1, 3, 2, 6, 7, 10, 49, 58]}",10
11:16:33,"{'ids': [0, 4, 1, 7, 3, 2, 6, 63, 58, 49, 10, 66]}",12
11:16:34,"{'ids': [0, 4, 7, 1, 3, 2, 6, 49, 62, 63, 72, 10, 71, 66]}",14
11:16:35,"{'ids': [0, 4, 1, 7, 3, 2, 6, 73, 49, 63, 72, 58, 62, 71]}",14
11:16:36,"{'ids': [0, 4, 1, 7, 3, 2, 6, 73, 74, 58, 75, 72, 76, 49, 62, 66]}",16
11:16:37,"{'ids': [0, 1, 4, 10, 73, 7, 2, 3, 49, 76, 74, 6, 58, 62, 72, 71, 66]}",17
11:16:39,"{'ids': [0, 1, 6, 73, 4, 3, 7, 49, 2, 75, 58, 72, 66, 62]}",14
