Time,obj_attrs,count
16:16:11,"{'ids': [0, 16, 3, 1, 2, 10, 6, 4, 8, 7, 22, 12, 11, 19, 20, 5, 9, 13, 14, 15, 18]}",21
16:16:12,"{'ids': [16, 0, 3, 4, 1, 7, 2, 15, 19, 14, 9, 12, 10, 11, 8, 22, 6, 18, 13, 27, 26]}",21
16:16:14,"{'ids': [0, 1, 16, 4, 27, 2, 7, 21, 14, 6, 3, 8, 9, 10, 11, 19, 20, 28, 18]}",19
16:16:15,"{'ids': [16, 0, 1, 27, 21, 2, 14, 11, 4, 10, 9, 6, 19, 7, 18, 3, 8, 29, 12, 30]}",20
16:16:16,"{'ids': [16, 0, 1, 2, 21, 30, 27, 7, 14, 9, 8, 4, 11, 12, 19, 6, 33, 18, 3, 29, 10]}",21
16:16:17,"{'ids': [16, 0, 1, 21, 29, 14, 2, 27, 12, 11, 7, 8, 18, 28, 4, 30, 13, 34, 35, 9, 6, 10, 19]}",23
16:16:18,"{'ids': [16, 0, 21, 1, 29, 7, 6, 30, 4, 13, 8, 19, 9, 10, 2, 18, 28, 27, 12]}",19
16:16:19,"{'ids': [16, 1, 29, 0, 8, 21, 27, 13, 7, 12, 18, 30, 19, 28, 11, 2, 9, 3, 32, 34]}",20
16:16:21,"{'ids': [16, 1, 29, 8, 7, 21, 0, 12, 13, 6, 27, 3, 36, 2, 35, 10, 28, 9, 38, 34, 18]}",21
16:16:22,"{'ids': [16, 29, 1, 8, 38, 0, 11, 21, 7, 12, 28, 42, 13, 10, 40, 9, 2, 6]}",18
16:16:23,"{'ids': [16, 1, 29, 11, 21, 8, 2, 12, 13, 7, 0, 34, 35, 28, 10, 42, 27]}",17
16:16:24,"{'ids': [16, 2, 1, 11, 44, 12, 13, 21, 8, 0, 29, 43, 7, 42, 28, 9, 10, 34, 6]}",19
16:16:25,"{'ids': [16, 44, 11, 2, 13, 1, 12, 8, 46, 21, 9, 29, 0, 7, 47, 6, 34, 10]}",18
16:16:26,"{'ids': [16, 44, 11, 2, 1, 7, 12, 21, 9, 13, 50, 0, 34, 46, 6, 47, 49, 28]}",18
16:16:27,"{'ids': [44, 16, 11, 2, 12, 1, 9, 7, 47, 6, 46, 51, 21, 28, 34, 13, 10, 0]}",18
16:16:29,"{'ids': [44, 16, 12, 11, 2, 21, 7, 1, 6, 28, 13, 47, 46, 9, 0, 34]}",16
16:16:30,"{'ids': [44, 11, 7, 12, 2, 1, 9, 21, 6, 34, 16, 47, 13, 10, 54, 49, 28]}",17
16:16:31,"{'ids': [44, 2, 11, 12, 6, 7, 1, 13, 34, 51, 9, 21, 0, 10, 49, 46, 55, 28, 47]}",19
16:16:32,"{'ids': [44, 13, 2, 6, 21, 1, 12, 34, 11, 7, 46, 0, 47, 9, 51, 10, 56]}",17
16:16:33,"{'ids': [44, 1, 12, 2, 51, 11, 9, 7, 6, 13, 47, 21, 34, 10, 0, 57, 46]}",17
16:16:35,"{'ids': [44, 12, 1, 7, 6, 13, 2, 9, 10, 47, 21, 11, 46, 58, 51, 56, 0]}",17
16:16:36,"{'ids': [44, 13, 7, 12, 1, 2, 6, 10, 11, 21, 9, 58, 47, 0, 56, 46, 51, 60]}",18
16:16:37,"{'ids': [44, 7, 1, 12, 13, 11, 46, 6, 10, 2, 0, 21, 58, 56, 62, 9]}",16
16:16:38,"{'ids': [44, 46, 12, 7, 1, 2, 13, 9, 11, 6, 10, 62, 58, 47, 0, 57, 63]}",17
16:16:39,"{'ids': [44, 46, 7, 11, 1, 12, 2, 6, 10, 62, 58, 47, 9, 0, 57, 63]}",16
16:16:40,"{'ids': [44, 46, 7, 11, 1, 2, 12, 58, 10, 0, 57, 9, 62, 6, 64, 47]}",16
16:16:41,"{'ids': [44, 7, 46, 12, 1, 11, 2, 58, 10, 9, 0, 6, 64, 57, 66, 67, 63, 62]}",18
16:16:43,"{'ids': [7, 1, 11, 46, 12, 2, 58, 64, 0, 6, 66, 62, 10, 69, 67, 47, 57, 9]}",18
16:16:44,"{'ids': [7, 1, 2, 12, 46, 47, 11, 58, 0, 66, 69, 6, 10, 62, 9, 70]}",16
16:16:45,"{'ids': [2, 46, 7, 1, 69, 66, 47, 58, 12, 0, 6, 71, 62, 10, 72, 11, 64, 9, 73, 57]}",20
16:16:46,"{'ids': [46, 2, 7, 1, 69, 72, 58, 11, 47, 0, 10, 6, 12, 66, 62, 67, 73, 64, 71]}",19
16:16:47,"{'ids': [46, 2, 7, 69, 1, 11, 73, 47, 58, 72, 12, 10, 66, 64, 0, 6, 71, 62, 9, 57]}",20
16:16:48,"{'ids': [46, 2, 7, 69, 72, 1, 11, 73, 12, 58, 0, 47, 6, 10, 66, 9, 76, 62, 71]}",19
16:16:49,"{'ids': [2, 72, 46, 7, 1, 69, 77, 0, 10, 12, 47, 58, 76, 11, 80, 73, 9, 6, 79, 62, 81, 57]}",22
16:16:50,"{'ids': [2, 7, 46, 72, 11, 1, 12, 0, 73, 79, 10, 69, 47, 58, 6, 80, 82, 9, 76, 57, 62]}",21
16:16:51,"{'ids': [7, 72, 2, 46, 69, 1, 0, 73, 11, 67, 12, 58, 10, 47, 9, 66, 6, 83, 57, 79]}",20
16:16:52,"{'ids': [2, 72, 7, 11, 69, 1, 46, 79, 58, 73, 10, 6, 0, 66, 9, 12]}",16
16:16:54,"{'ids': [72, 2, 46, 10, 1, 7, 58, 12, 11, 66, 9, 47, 6, 69, 73, 0, 85, 62, 79]}",19
16:16:55,"{'ids': [72, 2, 12, 1, 11, 73, 6, 10, 46, 7, 62, 69, 58, 9, 66, 57, 47]}",17
16:16:56,"{'ids': [72, 2, 12, 46, 1, 11, 10, 6, 73, 7, 9, 58, 62, 88, 69, 89]}",16
16:16:57,"{'ids': [72, 2, 12, 46, 1, 10, 73, 6, 9, 11, 7, 47, 80, 69, 58, 88, 57]}",17
16:16:58,"{'ids': [2, 12, 72, 46, 6, 1, 10, 73, 9, 69, 88, 47, 7, 90, 62, 58, 11, 57]}",18
16:16:59,"{'ids': [72, 12, 2, 6, 73, 10, 1, 46, 90, 88, 47, 9, 62, 7, 92, 58, 69, 57, 93]}",19
16:17:00,"{'ids': [72, 12, 1, 2, 6, 90, 10, 73, 92, 62, 46, 58, 93, 47, 9, 69, 91, 7, 57]}",19
16:17:01,"{'ids': [72, 2, 12, 1, 6, 10, 92, 46, 91, 7, 9, 62, 73, 93, 47, 58, 95, 69, 88, 90, 96, 57, 11, 97]}",24
16:17:02,"{'ids': [72, 2, 12, 1, 92, 6, 47, 91, 90, 10, 73, 9, 46, 11, 88, 62, 7, 93, 58, 69, 57]}",21
16:17:03,"{'ids': [72, 2, 12, 10, 1, 46, 73, 6, 90, 91, 7, 9, 47, 62, 11, 99, 57, 58, 88]}",19
