Time,cum_max
21:51:04,15
21:51:05,17
21:51:06,19
21:51:08,20
21:51:09,21
21:51:10,21
21:51:11,21
21:51:12,22
21:51:14,23
21:51:15,24
21:51:16,26
21:51:17,27
21:51:19,27
21:51:20,27
21:51:21,30
21:51:22,31
21:51:23,32
21:51:24,32
21:51:25,33
21:51:27,35
21:51:28,37
21:51:29,37
21:51:30,37
21:51:31,39
21:51:32,40
21:51:33,41
21:51:34,42
21:51:36,42
21:51:37,42
21:51:38,44
21:51:39,44
21:51:40,44
21:51:42,44
21:51:43,45
21:51:44,45
21:51:45,47
21:51:46,49
21:51:47,49
21:51:48,50
21:51:49,50
21:51:51,51
21:51:52,52
21:51:53,53
21:51:54,53
21:51:56,55
21:51:57,56
21:51:58,57
21:51:59,59
21:52:00,61
21:52:02,62
21:52:03,62
21:52:04,64
21:52:05,65
21:52:06,67
21:52:08,67
21:52:09,69
21:52:10,70
21:52:11,70
21:52:12,71
21:52:14,73
21:52:15,73
21:52:16,77
21:52:17,77
21:52:19,79
21:52:20,79
21:52:21,79
21:52:22,79
21:52:23,83
21:52:24,84
21:52:26,88
21:52:27,91
21:52:28,93
21:52:29,93
21:52:30,98
21:52:32,100
21:52:33,101
21:52:34,101
21:52:35,101
21:52:36,101
21:52:38,101
21:52:39,103
21:52:40,103
21:52:41,105
21:52:42,105
21:52:44,105
21:52:45,106
21:52:46,106
21:52:47,107
