Time,obj_attrs,count
11:11:56,"{'ids': [0, 1, 4, 2, 5, 3, 6, 9, 8, 7, 10, 12, 11, 15, 13, 14]}",16
11:11:57,"{'ids': [0, 1, 2, 5, 4, 3, 9, 6, 8, 7, 12, 17, 14, 13, 11, 10]}",16
11:11:59,"{'ids': [0, 1, 2, 4, 6, 5, 9, 7, 3, 8, 17, 13, 10, 12, 19]}",15
11:12:00,"{'ids': [0, 1, 4, 2, 6, 3, 5, 9, 7, 8, 12, 10, 17, 13]}",14
11:12:01,"{'ids': [0, 1, 2, 6, 9, 4, 3, 5, 12, 7, 14, 8, 13, 10, 18, 21]}",16
11:12:02,"{'ids': [0, 6, 3, 5, 9, 2, 4, 7, 1, 12, 8, 14, 10, 21]}",14
11:12:03,"{'ids': [0, 6, 5, 9, 3, 2, 4, 8, 12, 1, 21, 7, 10, 14]}",14
11:12:04,"{'ids': [0, 5, 21, 9, 4, 3, 6, 2, 12, 8, 22, 1, 7, 13]}",14
11:12:06,"{'ids': [0, 2, 1, 21, 5, 6, 3, 9, 22, 12, 8, 4, 13, 7, 10, 23]}",16
11:12:07,"{'ids': [0, 21, 1, 2, 6, 5, 3, 22, 4, 9, 12, 13, 10, 8, 23, 7]}",16
11:12:08,"{'ids': [0, 21, 1, 6, 4, 5, 2, 7, 3, 25, 9, 13, 23, 10, 8]}",15
11:12:09,"{'ids': [0, 21, 4, 25, 6, 1, 2, 5, 7, 9, 23, 8, 3]}",13
11:12:10,"{'ids': [0, 21, 4, 6, 25, 5, 1, 3, 7, 9, 2, 23, 13, 8]}",14
11:12:11,"{'ids': [0, 21, 4, 2, 25, 3, 9, 5, 1, 10, 6, 23, 28, 29, 8, 30]}",16
11:12:13,"{'ids': [0, 21, 2, 4, 5, 25, 9, 1, 6, 3, 29, 8, 14, 28, 10, 7, 23]}",17
11:12:14,"{'ids': [0, 21, 2, 4, 5, 10, 1, 9, 3, 7, 8, 14, 25, 29, 32, 6, 31, 28, 23]}",19
11:12:15,"{'ids': [0, 21, 4, 3, 2, 5, 30, 1, 9, 10, 6, 25, 32, 8, 31, 29, 14, 23]}",18
11:12:16,"{'ids': [0, 3, 21, 30, 1, 4, 5, 2, 9, 6, 10, 8, 32, 28, 23, 33, 25]}",17
11:12:17,"{'ids': [0, 3, 21, 30, 1, 4, 5, 2, 10, 9, 6, 8, 35, 25, 23]}",15
11:12:19,"{'ids': [0, 3, 1, 21, 14, 4, 5, 6, 10, 2, 8, 29, 25, 9, 23, 33, 37, 31]}",18
11:12:20,"{'ids': [0, 1, 3, 14, 21, 5, 4, 2, 6, 10, 29, 30, 8, 36, 7, 9, 31]}",17
11:12:21,"{'ids': [0, 1, 3, 14, 21, 5, 4, 2, 6, 10, 30, 8, 36]}",13
11:12:22,"{'ids': [0, 3, 1, 14, 30, 5, 4, 21, 2, 29, 6, 10, 7, 38, 39]}",15
11:12:23,"{'ids': [0, 1, 21, 3, 5, 4, 8, 25, 14, 6, 2, 10, 40, 38, 41, 7]}",16
11:12:25,"{'ids': [0, 21, 1, 4, 2, 5, 6, 25, 7, 3, 30, 10, 14, 38, 40, 39]}",16
11:12:26,"{'ids': [0, 21, 1, 4, 2, 30, 6, 3, 25, 5, 10, 38, 39, 36, 40, 8, 14]}",17
11:12:27,"{'ids': [0, 6, 2, 1, 7, 4, 21, 3, 10, 36, 38, 8, 5]}",13
11:12:28,"{'ids': [0, 6, 2, 1, 8, 4, 7, 3, 10, 38, 21, 30]}",12
11:12:29,"{'ids': [0, 2, 6, 1, 8, 4, 38, 7, 41, 3, 10, 43, 39]}",13
11:12:30,"{'ids': [0, 2, 4, 6, 7, 21, 1, 39, 8, 3, 30, 44, 38, 10, 5, 14, 41, 25]}",18
11:12:31,"{'ids': [0, 2, 8, 6, 4, 30, 39, 1, 10, 14, 3, 38, 43, 41]}",14
11:12:32,"{'ids': [0, 4, 2, 7, 6, 39, 14, 10, 3, 38, 43, 1, 45]}",13
11:12:34,"{'ids': [0, 7, 4, 2, 6, 14, 1, 38, 10, 45, 3, 30, 46]}",13
11:12:35,"{'ids': [0, 2, 4, 6, 8, 1, 7, 3, 39, 10, 38, 47, 14]}",13
11:12:36,"{'ids': [0, 8, 2, 4, 6, 38, 1, 3, 49, 10, 7, 48, 14]}",13
11:12:37,"{'ids': [0, 6, 8, 38, 2, 4, 49, 3, 30, 1, 48, 10, 14, 50, 46]}",15
11:12:38,"{'ids': [0, 7, 2, 6, 4, 38, 49, 39, 3, 30, 48, 10, 14, 1]}",14
11:12:39,"{'ids': [0, 7, 2, 6, 8, 4, 38, 39, 49, 3, 10, 1]}",12
11:12:41,"{'ids': [0, 6, 2, 7, 4, 38, 10, 49, 3, 39, 46, 1, 52]}",13
11:12:42,"{'ids': [0, 6, 2, 4, 1, 10, 7, 49, 38, 52, 53]}",11
11:12:43,"{'ids': [0, 6, 2, 4, 3, 1, 7, 49, 52, 38, 10]}",11
11:12:44,"{'ids': [0, 2, 6, 1, 4, 7, 3, 49, 46, 10, 54]}",11
11:12:45,"{'ids': [6, 0, 2, 4, 1, 7, 49, 3, 46, 10, 56]}",11
11:12:46,"{'ids': [6, 0, 2, 1, 4, 7, 3, 57, 46, 49, 10, 54]}",12
11:12:47,"{'ids': [0, 6, 1, 7, 57, 4, 46, 3, 2, 59, 58, 10]}",12
11:12:48,"{'ids': [0, 6, 2, 1, 7, 57, 3, 61, 46, 56, 54, 49, 59, 10]}",14
11:12:49,"{'ids': [0, 6, 1, 2, 3, 4, 58, 7, 62, 10, 46, 49]}",12
11:12:51,"{'ids': [0, 6, 1, 2, 3, 7, 4, 58, 46, 49, 10]}",11
11:12:52,"{'ids': [0, 6, 3, 2, 7, 4, 63, 1, 49, 58, 10]}",11
11:12:53,"{'ids': [0, 6, 3, 4, 63, 7, 2, 49, 64, 62, 58, 1, 10]}",13
11:12:54,"{'ids': [0, 63, 4, 3, 2, 6, 7, 62, 49, 1, 10, 58, 46, 67]}",14
11:12:55,"{'ids': [0, 3, 63, 2, 4, 62, 49, 46, 6, 1, 58, 64, 10, 7]}",14
11:12:57,"{'ids': [0, 3, 62, 1, 10, 7, 6, 4, 2, 46, 63, 69, 49, 58]}",14
