Time,obj_attrs,count
11:09:56,"{'ids': [0, 1, 2, 4, 5, 6, 3, 9, 8, 7, 14, 10, 12, 11, 15]}",15
11:09:57,"{'ids': [0, 1, 2, 4, 5, 6, 3, 7, 9, 8, 16, 12, 13, 10, 15, 14]}",16
11:09:59,"{'ids': [0, 1, 2, 4, 5, 7, 6, 9, 3, 8, 17, 13, 10, 18, 11, 12, 19]}",17
11:10:00,"{'ids': [0, 1, 4, 2, 6, 7, 5, 9, 3, 8, 12, 10, 17, 13]}",14
11:10:01,"{'ids': [0, 1, 2, 6, 9, 4, 3, 5, 12, 7, 14, 8, 13, 10, 18, 21]}",16
11:10:02,"{'ids': [0, 6, 9, 5, 3, 2, 4, 7, 1, 12, 14, 8, 21, 13, 10]}",15
11:10:03,"{'ids': [0, 6, 3, 5, 9, 4, 2, 1, 8, 7, 12, 21, 10, 14]}",14
11:10:04,"{'ids': [0, 21, 5, 9, 6, 3, 2, 4, 12, 8, 7, 1, 10]}",13
11:10:06,"{'ids': [0, 2, 5, 21, 1, 3, 6, 9, 22, 12, 8, 7, 4]}",13
11:10:07,"{'ids': [0, 21, 1, 2, 5, 3, 6, 7, 9, 12, 4, 13, 10, 8, 14, 23]}",16
11:10:08,"{'ids': [0, 21, 1, 6, 4, 5, 2, 7, 3, 9, 25, 13, 23, 10, 8]}",15
11:10:09,"{'ids': [0, 21, 4, 25, 6, 1, 2, 5, 7, 9, 3, 23, 13, 27]}",14
11:10:10,"{'ids': [0, 21, 4, 6, 25, 5, 1, 3, 7, 2, 9, 13, 8, 23]}",14
11:10:11,"{'ids': [0, 21, 4, 2, 25, 3, 5, 9, 1, 6, 23, 8]}",12
11:10:13,"{'ids': [0, 21, 2, 4, 5, 25, 9, 3, 1, 6, 29, 8, 28, 10, 23, 30, 7]}",17
11:10:14,"{'ids': [0, 21, 2, 4, 5, 10, 1, 9, 7, 3, 8, 14, 25, 6, 29, 23]}",16
11:10:15,"{'ids': [0, 21, 4, 3, 2, 5, 30, 1, 9, 10, 6, 28, 32, 8, 31, 29, 14, 23, 25]}",19
11:10:16,"{'ids': [0, 3, 21, 30, 4, 1, 5, 2, 9, 10, 7, 8, 32, 25, 6, 23, 33, 28]}",18
11:10:17,"{'ids': [0, 3, 21, 30, 1, 4, 5, 2, 10, 9, 6, 8, 35, 25, 23]}",15
11:10:18,"{'ids': [0, 3, 1, 21, 14, 4, 5, 6, 10, 2, 8, 29, 25, 9, 23, 33, 37, 31]}",18
11:10:19,"{'ids': [0, 1, 3, 14, 21, 5, 4, 6, 2, 30, 10, 8, 25, 36, 31, 7, 9]}",17
11:10:20,"{'ids': [0, 1, 3, 14, 21, 4, 5, 2, 30, 6, 10, 8]}",12
11:10:21,"{'ids': [0, 1, 3, 5, 30, 4, 21, 14, 2, 6, 38, 10, 25, 36]}",14
11:10:23,"{'ids': [0, 1, 21, 3, 5, 4, 8, 25, 6, 14, 2, 41, 29, 30, 10, 40, 38]}",17
11:10:24,"{'ids': [0, 21, 1, 4, 2, 30, 25, 5, 3, 8, 7, 39, 10, 38, 40, 6, 42]}",17
