Time,obj_attrs,count
16:09:45,"{'ids': [0, 1, 4, 2, 5, 6, 3, 9, 7, 8, 12, 11, 16, 10, 13, 15, 14]}",17
16:09:46,"{'ids': [0, 1, 2, 4, 5, 9, 6, 3, 7, 8, 17, 12, 13, 10, 11, 18]}",16
16:09:47,"{'ids': [0, 1, 2, 4, 6, 5, 9, 7, 3, 8, 12, 10, 17, 13, 19]}",15
16:09:48,"{'ids': [0, 1, 4, 2, 6, 3, 9, 5, 7, 12, 8, 18, 13, 10]}",14
16:09:49,"{'ids': [0, 1, 6, 9, 2, 3, 4, 5, 7, 12, 14, 8, 21, 13, 10]}",15
16:09:50,"{'ids': [0, 6, 3, 5, 9, 2, 4, 7, 12, 8, 1, 21, 10, 14]}",14
16:09:51,"{'ids': [0, 6, 5, 3, 9, 2, 4, 21, 12, 8, 7, 1, 10]}",13
16:09:53,"{'ids': [0, 5, 21, 1, 4, 3, 6, 2, 12, 8, 22, 9, 10, 7]}",14
16:09:54,"{'ids': [0, 2, 1, 21, 5, 6, 3, 9, 22, 12, 8, 4, 13, 7, 10, 23]}",16
16:09:55,"{'ids': [0, 21, 1, 2, 6, 5, 3, 22, 4, 9, 12, 13, 10, 8, 23, 7]}",16
16:09:56,"{'ids': [0, 21, 1, 6, 4, 5, 2, 7, 3, 25, 9, 13, 23, 10, 8]}",15
16:09:57,"{'ids': [0, 21, 4, 25, 6, 1, 2, 5, 7, 9, 23, 8, 3]}",13
16:09:58,"{'ids': [0, 21, 4, 6, 25, 5, 1, 3, 7, 9, 2, 23, 13, 8]}",14
16:10:00,"{'ids': [0, 21, 4, 2, 25, 3, 9, 5, 1, 10, 6, 23, 28, 29, 8, 30]}",16
16:10:01,"{'ids': [0, 21, 2, 4, 5, 25, 9, 1, 6, 3, 29, 8, 14, 28, 10, 7, 23]}",17
16:10:02,"{'ids': [0, 21, 2, 4, 5, 10, 1, 9, 3, 7, 8, 14, 25, 29, 32, 6, 31, 28, 23]}",19
16:10:03,"{'ids': [0, 21, 4, 3, 2, 5, 30, 1, 9, 10, 6, 25, 32, 8, 31, 29, 14, 23]}",18
16:10:04,"{'ids': [0, 3, 21, 30, 1, 4, 5, 2, 9, 6, 10, 8, 32, 28, 23, 33, 25]}",17
16:10:05,"{'ids': [0, 3, 21, 30, 1, 4, 5, 10, 2, 6, 9, 8, 35, 14, 25, 33]}",16
16:10:06,"{'ids': [0, 3, 1, 14, 21, 5, 4, 2, 6, 10, 8, 36, 25, 9, 31, 37]}",16
16:10:07,"{'ids': [0, 1, 3, 14, 21, 5, 4, 6, 2, 10, 30, 8, 25, 7]}",14
16:10:08,"{'ids': [0, 1, 3, 14, 21, 4, 5, 2, 30, 6, 10, 8]}",12
16:10:10,"{'ids': [0, 1, 3, 5, 30, 4, 21, 14, 2, 6, 38, 10, 25, 36]}",14
16:10:11,"{'ids': [0, 1, 21, 3, 5, 4, 8, 25, 6, 14, 2, 41, 29, 30, 10, 40, 38]}",17
16:10:12,"{'ids': [0, 21, 1, 4, 2, 30, 25, 5, 3, 8, 7, 39, 10, 38, 40, 6, 42]}",17
16:10:13,"{'ids': [0, 6, 2, 1, 4, 7, 21, 3, 10, 36, 38, 5, 25]}",13
16:10:14,"{'ids': [0, 6, 2, 1, 7, 4, 8, 3, 36, 21, 10, 38, 25]}",13
16:10:15,"{'ids': [0, 6, 2, 1, 8, 4, 38, 7, 41, 3, 10, 21, 30, 39, 14]}",15
16:10:16,"{'ids': [0, 2, 4, 6, 7, 21, 1, 39, 8, 3, 30, 41, 38, 44, 10, 5, 14]}",17
16:10:18,"{'ids': [0, 2, 8, 7, 4, 30, 1, 39, 6, 10, 3, 14, 38, 43, 44, 41]}",16
16:10:19,"{'ids': [0, 2, 6, 4, 7, 39, 10, 14, 3, 38, 43, 30, 45, 41, 1]}",15
16:10:20,"{'ids': [0, 7, 4, 2, 6, 39, 14, 10, 38, 3, 45, 30, 1]}",13
16:10:21,"{'ids': [0, 2, 4, 6, 7, 44, 1, 3, 10, 39, 38, 8, 30, 14, 47]}",15
16:10:22,"{'ids': [0, 8, 2, 4, 6, 38, 1, 3, 49, 10, 7, 48, 14]}",13
16:10:24,"{'ids': [0, 6, 8, 38, 2, 4, 49, 3, 30, 1, 48, 10, 14, 50, 46]}",15
16:10:25,"{'ids': [0, 7, 2, 6, 4, 38, 49, 39, 3, 30, 48, 10, 14, 1]}",14
16:10:26,"{'ids': [0, 7, 2, 6, 8, 4, 38, 39, 49, 3, 10, 1]}",12
16:10:27,"{'ids': [0, 6, 2, 7, 4, 38, 10, 49, 3, 39, 46, 1, 52]}",13
16:10:28,"{'ids': [0, 6, 2, 4, 1, 10, 7, 49, 38, 52, 53]}",11
16:10:29,"{'ids': [0, 6, 2, 4, 3, 1, 7, 49, 52, 38, 10]}",11
16:10:30,"{'ids': [0, 2, 6, 1, 4, 7, 3, 49, 46, 10, 54]}",11
16:10:31,"{'ids': [6, 0, 2, 4, 1, 7, 49, 3, 46, 10, 56]}",11
16:10:33,"{'ids': [6, 0, 2, 1, 4, 7, 3, 57, 46, 49, 10, 54]}",12
16:10:34,"{'ids': [0, 6, 1, 7, 57, 4, 46, 3, 2, 59, 58, 10]}",12
16:10:35,"{'ids': [0, 6, 2, 1, 7, 57, 3, 61, 46, 56, 54, 49, 59, 10]}",14
16:10:36,"{'ids': [0, 6, 1, 2, 3, 4, 58, 7, 62, 10, 46, 49]}",12
16:10:37,"{'ids': [0, 6, 1, 2, 3, 7, 4, 58, 46, 49, 10]}",11
16:10:38,"{'ids': [0, 6, 3, 2, 7, 4, 63, 1, 49, 58, 10]}",11
16:10:39,"{'ids': [0, 6, 3, 4, 63, 7, 2, 49, 64, 62, 58, 1, 10]}",13
16:10:40,"{'ids': [0, 63, 4, 3, 2, 6, 7, 62, 49, 1, 10, 58, 46, 67]}",14
16:10:41,"{'ids': [0, 3, 63, 2, 4, 62, 49, 46, 6, 1, 58, 64, 10, 7]}",14
16:10:42,"{'ids': [0, 3, 62, 1, 10, 7, 6, 4, 2, 46, 63, 69, 49, 58]}",14
16:10:43,"{'ids': [0, 4, 3, 1, 6, 2, 46, 63, 7, 58, 10, 49]}",12
16:10:44,"{'ids': [0, 4, 1, 2, 3, 6, 10, 7, 49, 58, 63, 66, 46]}",13
16:10:45,"{'ids': [0, 4, 3, 7, 1, 2, 6, 63, 49, 64]}",10
16:10:46,"{'ids': [0, 4, 1, 3, 7, 2, 6, 49, 73, 63, 58, 72, 62, 66]}",14
16:10:47,"{'ids': [0, 4, 1, 7, 2, 3, 6, 73, 49, 58, 62, 72, 71, 10]}",14
16:10:48,"{'ids': [0, 4, 1, 7, 3, 2, 6, 73, 74, 58, 75, 72, 76, 49, 62, 66]}",16
16:10:50,"{'ids': [0, 1, 4, 10, 73, 7, 2, 3, 49, 76, 74, 6, 58, 62, 72, 71, 66]}",17
16:10:51,"{'ids': [0, 1, 6, 73, 4, 3, 7, 49, 2, 75, 58, 72, 66, 62]}",14
16:10:52,"{'ids': [0, 1, 6, 73, 4, 3, 10, 66, 49, 62, 58, 2, 72, 74]}",14
16:10:53,"{'ids': [0, 1, 73, 2, 3, 58, 4, 72, 10, 75]}",10
16:10:54,"{'ids': [0, 1, 73, 2, 4, 3, 72]}",7
16:10:55,"{'ids': [1, 0, 2, 73, 3, 4, 72]}",7
16:10:56,"{'ids': [1, 0, 2, 73, 6, 82, 80, 83, 81, 72, 4]}",11
16:10:58,"{'ids': [0, 1, 82, 81, 6, 85, 84, 86, 4, 87, 83]}",11
16:10:59,"{'ids': [0, 84, 1, 81, 82, 6, 83, 85]}",8
16:11:00,"{'ids': [0, 88, 6, 80, 84, 83, 85, 89]}",8
16:11:01,"{'ids': [6, 92, 80, 83, 0, 88, 81, 89, 84, 85]}",10
16:11:02,"{'ids': [0, 92, 80, 6, 88, 81, 83, 84, 85, 89, 94, 1, 95, 82]}",14
16:11:03,"{'ids': [0, 88, 6, 80, 92, 81, 1, 83, 94, 97, 82, 99, 96, 93, 95, 98]}",16
16:11:05,"{'ids': [0, 6, 88, 1, 80, 94, 96, 81, 82, 83, 97, 92, 84, 100, 101, 89, 98, 95]}",18
16:11:06,"{'ids': [0, 6, 80, 1, 88, 94, 82, 81, 89, 83, 92, 93, 98, 85]}",14
16:11:07,"{'ids': [6, 0, 1, 88, 80, 94, 81, 82, 89, 83, 98, 93]}",12
16:11:08,"{'ids': [0, 88, 1, 6, 94, 80, 81, 82, 96, 98, 83, 84]}",12
16:11:09,"{'ids': [0, 1, 6, 88, 94, 81, 80, 82, 89, 98, 96]}",11
16:11:11,"{'ids': [1, 6, 0, 88, 94, 81, 80, 82, 102, 98, 103, 89]}",12
16:11:12,"{'ids': [1, 6, 0, 94, 88, 81, 80, 82, 89, 98, 102, 93]}",12
16:11:13,"{'ids': [1, 6, 94, 88, 81, 0, 80, 82, 89, 98]}",10
16:11:14,"{'ids': [1, 0, 6, 81, 88, 94, 80, 82, 89, 98, 102]}",11
16:11:15,"{'ids': [1, 81, 6, 0, 88, 94, 82, 80, 105, 102, 98]}",11
16:11:16,"{'ids': [1, 81, 0, 6, 94, 88, 80, 82, 105, 102, 98, 106]}",12
16:11:18,"{'ids': [81, 0, 1, 6, 94, 82, 88, 80, 105, 102, 89, 98]}",12
