Time,obj_attrs,count
10:36:44,"{'ids': [0, 1, 4, 2, 5, 3, 6, 9, 8, 7, 10, 12, 11, 15, 13, 14]}",16
10:36:45,"{'ids': [0, 1, 2, 5, 4, 3, 9, 6, 8, 7, 12, 17, 14, 13, 11, 10]}",16
10:36:46,"{'ids': [0, 1, 2, 4, 6, 9, 7, 5, 3, 8, 10, 17, 13, 12, 19]}",15
10:36:47,"{'ids': [0, 1, 4, 2, 6, 3, 5, 9, 7, 12, 8, 13, 10, 18, 20]}",15
10:36:48,"{'ids': [0, 1, 6, 9, 2, 3, 4, 5, 12, 7, 14, 8, 21, 13, 10]}",15
10:36:50,"{'ids': [0, 6, 3, 5, 9, 2, 4, 7, 12, 1, 8, 10, 21, 14]}",14
10:36:51,"{'ids': [0, 6, 5, 3, 9, 2, 4, 21, 12, 8, 7, 1, 10]}",13
10:36:52,"{'ids': [0, 5, 21, 1, 4, 3, 6, 2, 12, 8, 22, 9, 10, 7]}",14
10:36:53,"{'ids': [0, 2, 1, 21, 6, 5, 3, 9, 12, 22, 8, 13, 10, 4, 7, 23]}",16
10:36:54,"{'ids': [0, 21, 1, 2, 6, 5, 3, 22, 4, 9, 12, 13, 10, 8, 23, 7]}",16
10:36:55,"{'ids': [0, 21, 1, 6, 4, 5, 2, 7, 3, 9, 25, 13, 23, 10, 8]}",15
10:36:56,"{'ids': [0, 21, 4, 6, 1, 25, 5, 10, 7, 9, 3, 14, 2, 23, 13, 8, 27]}",17
10:36:57,"{'ids': [0, 21, 4, 6, 25, 1, 2, 5, 7, 9, 23, 8, 3]}",13
10:36:58,"{'ids': [0, 21, 4, 6, 25, 5, 1, 3, 7, 9, 2, 23, 13, 8]}",14
10:36:59,"{'ids': [0, 21, 4, 2, 25, 3, 5, 9, 1, 6, 23, 8]}",12
10:37:01,"{'ids': [0, 21, 2, 4, 5, 25, 9, 3, 1, 6, 29, 8, 28, 10, 23, 30, 7]}",17
10:37:02,"{'ids': [0, 21, 2, 4, 5, 10, 1, 9, 7, 3, 8, 14, 25, 6, 29, 23]}",16
10:37:03,"{'ids': [0, 21, 2, 4, 3, 5, 1, 10, 9, 32, 6, 8, 14, 29, 25, 30, 7, 23, 31, 28]}",20
10:37:04,"{'ids': [0, 21, 3, 30, 4, 5, 1, 2, 9, 25, 10, 7, 8, 32, 6, 28, 14, 23]}",18
10:37:06,"{'ids': [0, 3, 21, 30, 1, 4, 5, 2, 9, 10, 6, 8, 25, 23]}",14
10:37:07,"{'ids': [0, 3, 1, 21, 14, 4, 5, 10, 2, 6, 9, 8, 36, 25, 29, 23, 33]}",17
10:37:08,"{'ids': [0, 1, 3, 14, 21, 5, 4, 2, 6, 10, 29, 30, 8, 36, 7, 9, 31]}",17
10:37:09,"{'ids': [0, 1, 3, 14, 21, 5, 4, 2, 6, 10, 30, 8, 36]}",13
10:37:11,"{'ids': [0, 3, 1, 14, 30, 5, 4, 21, 2, 29, 6, 10, 7, 38, 39]}",15
10:37:12,"{'ids': [0, 1, 21, 3, 5, 4, 8, 25, 14, 6, 2, 10, 40, 38, 41, 7]}",16
10:37:13,"{'ids': [0, 21, 1, 4, 2, 5, 25, 30, 3, 6, 7, 39, 38, 10, 40, 8]}",16
10:37:14,"{'ids': [0, 2, 1, 6, 21, 4, 30, 3, 10, 36, 38, 5, 39]}",13
10:37:16,"{'ids': [6, 0, 2, 1, 7, 4, 8, 3, 21, 10, 38, 5, 25, 14]}",14
10:37:17,"{'ids': [0, 6, 1, 2, 8, 38, 4, 41, 7, 3, 21, 10, 14, 39, 30, 25]}",16
10:37:18,"{'ids': [0, 2, 6, 8, 4, 1, 7, 3, 41, 38, 39, 14, 10, 30]}",14
10:37:19,"{'ids': [0, 2, 4, 7, 21, 30, 1, 6, 39, 10, 3, 8, 38, 14, 44, 41, 5]}",17
10:37:20,"{'ids': [0, 2, 4, 8, 6, 30, 39, 10, 14, 3, 1, 43, 38, 41]}",14
10:37:21,"{'ids': [0, 4, 2, 7, 6, 39, 14, 10, 3, 38, 43, 1, 45]}",13
10:37:23,"{'ids': [0, 7, 4, 2, 6, 39, 14, 10, 38, 3, 45, 30, 1]}",13
10:37:24,"{'ids': [0, 2, 4, 6, 7, 44, 1, 3, 10, 39, 38, 8, 30, 14, 47]}",15
10:37:25,"{'ids': [0, 8, 2, 4, 6, 38, 1, 3, 49, 10, 7, 48, 14]}",13
10:37:26,"{'ids': [0, 6, 8, 38, 2, 4, 49, 3, 30, 1, 48, 10, 14, 50, 46]}",15
