Time,obj_attrs,count
15:58:24,"{'ids': [0, 1, 4, 2, 5, 3, 6, 9, 8, 7, 10, 12, 11, 15, 13, 14]}",16
15:58:25,"{'ids': [0, 1, 2, 5, 4, 3, 9, 6, 8, 7, 12, 17, 14, 13, 11, 10]}",16
15:58:26,"{'ids': [0, 1, 2, 4, 6, 9, 7, 5, 3, 8, 10, 17, 13, 12, 19]}",15
15:58:28,"{'ids': [0, 1, 4, 2, 6, 3, 5, 9, 7, 12, 8, 13, 10, 18, 20]}",15
15:58:29,"{'ids': [0, 1, 2, 6, 9, 4, 3, 5, 12, 7, 14, 8, 13, 10, 18, 21]}",16
15:58:30,"{'ids': [0, 6, 3, 5, 9, 2, 4, 7, 1, 12, 8, 14, 10, 21]}",14
15:58:31,"{'ids': [0, 6, 5, 9, 3, 2, 4, 8, 12, 1, 21, 7, 10, 14]}",14
15:58:32,"{'ids': [0, 21, 5, 9, 6, 3, 2, 4, 12, 8, 7, 1, 10]}",13
15:58:33,"{'ids': [0, 5, 4, 21, 1, 3, 6, 9, 22, 8, 12, 10, 2, 7]}",14
15:58:34,"{'ids': [0, 2, 1, 21, 6, 5, 3, 9, 12, 22, 8, 13, 10, 4, 7, 23]}",16
15:58:35,"{'ids': [0, 21, 1, 2, 6, 5, 3, 22, 4, 9, 12, 13, 10, 8, 23, 7]}",16
15:58:36,"{'ids': [0, 21, 1, 6, 4, 5, 2, 7, 3, 9, 25, 13, 23, 10, 8]}",15
15:58:38,"{'ids': [0, 21, 4, 25, 6, 1, 2, 5, 7, 9, 3, 23, 13, 27]}",14
15:58:39,"{'ids': [0, 21, 4, 6, 25, 5, 1, 3, 7, 2, 9, 13, 8, 23]}",14
15:58:40,"{'ids': [0, 21, 4, 2, 25, 3, 5, 9, 1, 6, 23, 8]}",12
15:58:41,"{'ids': [0, 21, 2, 4, 5, 25, 9, 3, 1, 6, 29, 8, 28, 10, 23, 30, 7]}",17
15:58:42,"{'ids': [0, 21, 2, 4, 5, 10, 1, 9, 6, 3, 8, 14, 29, 25, 23, 31]}",16
15:58:44,"{'ids': [0, 21, 2, 4, 3, 5, 1, 10, 9, 32, 6, 8, 14, 29, 25, 30, 7, 23, 31, 28]}",20
15:58:45,"{'ids': [0, 21, 3, 30, 4, 5, 1, 2, 9, 25, 10, 7, 8, 32, 6, 14, 28, 23]}",18
